,id,date_time,year,month,mdate,day,time,sensor_id,sensor_name_x,hourly_counts,sensor_description,sensor_name_y,installation_date,status,note,direction_1,direction_2,latitude,longitude,location
0,2887628,11/1/2019,2019,November,1,Friday,17,34,Flinders St-Spark La,300,Flinders St-Spark La,Fli32_T,6/8/2014,A,,East,West,-37.81537985,144.9741505,"(-37.81537985, 144.9741505)"
1,2887629,11/1/2019,2019,November,1,Friday,17,39,Alfred Place,604,Alfred Place,AlfPl_T,12/4/2019,A,In 4/12/2019 sensor upgraded,South,North,-37.81379749,144.9699575,"(-37.81379749, 144.96995745)"
2,2887630,11/1/2019,2019,November,1,Friday,17,37,Lygon St (East),216,Lygon St (East),Lyg260_T,2/11/2015,A,,North,South,-37.80310271,144.9667145,"(-37.80310271, 144.96671452)"
3,2887631,11/1/2019,2019,November,1,Friday,17,40,Lonsdale St-Spring St (West),627,Lonsdale St-Spring St (West),Spr201_T,1/19/2015,A,,South,North,-37.80999341,144.9722759,"(-37.80999341, 144.97227588)"
4,2887632,11/1/2019,2019,November,1,Friday,17,36,Queen St (West),774,Queen St (West),Que85_T,1/20/2015,A,,South,North,-37.81652527,144.9612106,"(-37.81652527, 144.96121063)"
5,2887633,11/1/2019,2019,November,1,Friday,17,29,St Kilda Rd-Alexandra Gardens,644,St Kilda Rd-Alexandra Gardens,AG_T,10/11/2013,A,sensor upgraded from laser to 3D on 19/12/2019,North,South,-37.81965808,144.9686345,"(-37.81965808, 144.96863453)"
6,2887634,11/1/2019,2019,November,1,Friday,17,42,Grattan St-Swanston St (West),453,Grattan St-Swanston St (West),UM1_T,4/15/2015,A,,South,North,-37.80008565,144.9638641,"(-37.80008565, 144.96386412)"
7,2887635,11/1/2019,2019,November,1,Friday,17,43,Monash Rd-Swanston St (West),387,Monash Rd-Swanston St (West),UM2_T,4/15/2015,A,,South,North,-37.79844525,144.9641178,"(-37.79844525, 144.96411782)"
8,2887636,11/1/2019,2019,November,1,Friday,17,44,Tin Alley-Swanston St (West),27,Tin Alley-Swanston St (West),UM3_T,4/15/2015,A,,South,North,-37.79690473,144.9644038,"(-37.79690473, 144.96440378)"
9,2887637,11/1/2019,2019,November,1,Friday,17,35,Southbank,"2,691",Southbank,SouthB_T,4/15/2021,A,River side,East,West,-37.82017828,144.9650888,"(-37.82017828, 144.96508877)"
10,2887638,11/1/2019,2019,November,1,Friday,17,45,Little Collins St-Swanston St (East),"2,173",Little Collins St-Swanston St (East),Swa148_T,6/29/2017,A,,North,South,-37.81414074,144.9660938,"(-37.81414074, 144.9660938)"
11,2887639,11/1/2019,2019,November,1,Friday,17,46,Pelham St (S),203,Pelham St (South),Pel147_T,7/10/2017,A,,West,East,-37.80240719,144.9615673,"(-37.80240719, 144.96156731)"
12,2887640,11/1/2019,2019,November,1,Friday,17,47,Melbourne Central-Elizabeth St (East),"2,354",Melbourne Central-Elizabeth St (East),Eli250_T,8/24/2017,A,,South,North,-37.81160331,144.9622008,"(-37.81160331, 144.96220077)"
13,2887641,11/1/2019,2019,November,1,Friday,17,48,QVM-Queen St (East),358,QVM-Queen St (East),QVMQ_T,10/2/2017,A,,East,West,-37.80631581,144.958667,"(-37.80631581, 144.95866698)"
14,2887642,11/1/2019,2019,November,1,Friday,17,49,QVM-Therry St (South),161,QVM-Therry St (South),Eli501_T,11/29/2017,A,,West,East,-37.80730067,144.9595606,"(-37.80730067, 144.95956055)"
15,2887643,11/1/2019,2019,November,1,Friday,17,50,Faraday St-Lygon St (West),502,Faraday St-Lygon St (West),Lyg309_T,11/30/2017,A,,North,South,-37.79808191,144.9672101,"(-37.79808191, 144.96721014)"
16,2887644,11/1/2019,2019,November,1,Friday,17,51,QVM-Franklin St (North),159,QVM-Franklin St (North),Fra118_T,11/30/2017,A,,West,East,-37.80841814,144.9590632,"(-37.80841814, 144.95906317)"
17,2887645,11/1/2019,2019,November,1,Friday,17,52,Elizabeth St-Lonsdale St (South),914,Elizabeth St-Lonsdale St (South),Eli263_T,7/31/2017,A,,West,East,-37.81252157,144.9619401,"(-37.81252157, 144.9619401)"
18,2887646,11/1/2019,2019,November,1,Friday,17,54,Lincoln-Swanston(West),276,Lincoln-Swanston (West),Swa607_T,6/26/2018,A,,South,North,-37.804024,144.963084,"(-37.804024, 144.963084)"
19,2887647,11/1/2019,2019,November,1,Friday,17,55,Elizabeth St-La Trobe St (East),"2,070",Elizabeth St-La Trobe St (East),Eli380_T,7/19/2018,A,,North,South,-37.80988941,144.9613433,"(-37.80988941, 144.96134331)"
20,2887648,11/1/2019,2019,November,1,Friday,17,56,Lonsdale St - Elizabeth St (North),789,Lonsdale St - Elizabeth St (North),Lon364_T,7/25/2018,A,,East,West,-37.81234775,144.9615331,"(-37.81234775, 144.96153311)"
21,2887649,11/1/2019,2019,November,1,Friday,17,57,Bourke St Bridge,"2,122",Bourke St Bridge,BouBri_T,8/13/2018,A,,West,East,-37.8176735,144.950256,"(-37.8176735, 144.95025595)"
22,2887650,11/1/2019,2019,November,1,Friday,17,58,Bourke St - Spencer St (North),"2,528",Bourke St - Spencer St (North),Bou688_T,9/27/2018,A,,West,East,-37.81686074,144.9535808,"(-37.81686074, 144.95358075)"
23,2887651,11/1/2019,2019,November,1,Friday,17,59,Swanston St - RMIT Building 80,485,Building 80 RMIT,RMIT_T,2/13/2019,A,,North,South,-37.80825648,144.9630486,"(-37.80825648, 144.96304859)"
24,2887652,11/1/2019,2019,November,1,Friday,17,61,Swanston St - RMIT Building 14,"1,240",RMIT Building 14,RMIT14_T,6/28/2019,A,,North,South,-37.80767455,144.9630912,"(-37.80767455, 144.96309115)"
25,2887653,11/1/2019,2019,November,1,Friday,17,62,La Trobe St (North),229,La Trobe St (North),Lat224_T,9/25/2019,A,,East,West,-37.80996494,144.9621652,"(-37.80996494, 144.96216521)"
26,2887654,11/1/2019,2019,November,1,Friday,18,4,Town Hall (West),"2,950",Town Hall (West),Swa123_T,3/23/2009,A,,South,North,-37.81487988,144.9660878,"(-37.81487988, 144.9660878)"
27,2887655,11/1/2019,2019,November,1,Friday,18,17,Collins Place (South),646,Collins Place (South),Col15_T,3/30/2009,A,Device is upgraded in 26/02/2020,East,West,-37.81362542,144.9732359,"(-37.81362542, 144.97323592)"
28,2887656,11/1/2019,2019,November,1,Friday,18,18,Collins Place (North),626,Collins Place (North),Col12_T,3/30/2009,A,,East,West,-37.81344861,144.9730535,"(-37.81344861, 144.97305354)"
29,2887657,11/1/2019,2019,November,1,Friday,18,53,Collins St (North),"1,153",Collins Street (North),Col254_T,9/23/2015,A,,West,East,-37.8156419,144.965499,"(-37.8156419, 144.965499)"
30,2887658,11/1/2019,2019,November,1,Friday,18,2,Bourke Street Mall (South),"2,226",Bourke Street Mall (South),Bou283_T,3/30/2009,A,,East,West,-37.81380667,144.9651672,"(-37.81380667, 144.96516719)"
31,2887659,11/1/2019,2019,November,1,Friday,18,1,Bourke Street Mall (North),"3,183",Bourke Street Mall (North),Bou292_T,3/24/2009,A,,West,East,-37.8134944,144.9651532,"(-37.8134944, 144.96515324)"
32,2887660,11/1/2019,2019,November,1,Friday,18,3,Melbourne Central,"2,802",Melbourne Central,Swa295_T,3/25/2009,A,,North,South,-37.81101523,144.9642949,"(-37.81101523, 144.96429485)"
33,2887661,11/1/2019,2019,November,1,Friday,18,15,State Library,"1,904",State Library,QV_T,3/25/2009,R,,South,North,-37.81064378,144.9644713,"(-37.81064378, 144.96447132)"
34,2887662,11/1/2019,2019,November,1,Friday,18,9,Southern Cross Station,"1,310",Southern Cross Station,Col700_T,3/23/2009,A,,East,West,-37.81982992,144.9510256,"(-37.81982992, 144.95102556)"
35,2887663,11/1/2019,2019,November,1,Friday,18,10,Victoria Point,147,Victoria Point,BouHbr_T,4/23/2009,A,,West,East,-37.81876473,144.9471055,"(-37.81876473, 144.94710545)"
36,2887664,11/1/2019,2019,November,1,Friday,18,12,New Quay,424,New Quay,NewQ_T,1/21/2009,A,,West,East,-37.81457987,144.942924,"(-37.81457987, 144.94292398)"
37,2887665,11/1/2019,2019,November,1,Friday,18,11,Waterfront City,90,Waterfront City,WatCit_T,1/20/2009,A,,East,West,-37.81564989,144.939707,"(-37.81564989, 144.93970695)"
38,2887666,11/1/2019,2019,November,1,Friday,18,8,Webb Bridge,301,Webb Bridge,WebBN_T,3/24/2009,A,,North,South,-37.82293543,144.9471751,"(-37.82293543, 144.94717511)"
39,2887667,11/1/2019,2019,November,1,Friday,18,7,Birrarung Marr,"1,010",Birrarung Marr,Fed_T,12/17/2014,A,,East,West,-37.81862929,144.971694,"(-37.81862929, 144.97169395)"
40,2887668,11/1/2019,2019,November,1,Friday,18,5,Princes Bridge,"3,084",Princes Bridge,PriNW_T,3/26/2009,A,,North,South,-37.81874249,144.9678766,"(-37.81874249, 144.96787656)"
41,2887669,11/1/2019,2019,November,1,Friday,18,6,Flinders Street Station Underpass,"3,462",Flinders Street Station Underpass,FliS_T,3/25/2009,A,Upgraded on 8/09/21,North,South,-37.81911704,144.9655826,"(-37.81911704, 144.96558256)"
42,2887670,11/1/2019,2019,November,1,Friday,18,14,Sandridge Bridge,43,Sandridge Bridge,SanBri_T,9/25/2019,A,,North,South,-37.82011242,144.962919,"(-37.82011242, 144.96291898)"
43,2887671,11/1/2019,2019,November,1,Friday,18,26,QV Market-Elizabeth St (West),744,QV Market-Elizabeth St (West),Eli483_T,9/28/2013,A,,South,North,-37.80869542,144.960494,"(-37.80869542, 144.96049404)"
44,2887672,11/1/2019,2019,November,1,Friday,18,24,Spencer St-Collins St (North),"2,552",Spencer St-Collins St (North),Col620_T,9/2/2013,A,,East,West,-37.81887962,144.954492,"(-37.81887962, 144.95449198)"
45,2887673,11/1/2019,2019,November,1,Friday,18,23,Spencer St-Collins St (South),496,Spencer St-Collins St (South),Col623_T,9/2/2013,A,,East,West,-37.81909256,144.9545275,"(-37.81909256, 144.95452749)"
46,2887674,11/1/2019,2019,November,1,Friday,18,25,Melbourne Convention Exhibition Centre,"2,355",Melbourne Convention Exhibition Centre,MCEC_T,10/2/2019,A,Sensor relocated from 14 to 25 on 2/10/2019,East,West,-37.82401776,144.9560443,"(-37.82401776, 144.95604426)"
47,2887675,11/1/2019,2019,November,1,Friday,18,21,Bourke St-Russell St (West),"1,071",Bourke St-Russell St (West),Rus180_T,9/2/2013,A,,South,North,-37.81244703,144.9677876,"(-37.81244703, 144.96778757)"
48,2887676,11/1/2019,2019,November,1,Friday,18,20,Chinatown-Lt Bourke St (South),816,Chinatown-Lt Bourke St (South),LtB170_T,9/6/2013,A,,East,West,-37.81172913,144.9682466,"(-37.81172913, 144.9682466)"
49,2887677,11/1/2019,2019,November,1,Friday,18,19,Chinatown-Swanston St (North),"1,362",Chinatown-Swanston St (North),LtB210_T,9/2/2013,A,,East,West,-37.81237202,144.9655067,"(-37.81237202, 144.96550671)"
50,2887678,11/1/2019,2019,November,1,Friday,18,22,Flinders St-Elizabeth St (East),"3,005",Flinders St-Elizabeth St (East),Eli274_T,8/12/2013,A,,South,North,-37.81786445,144.9650682,"(-37.81786445, 144.96506823)"
51,2887679,11/1/2019,2019,November,1,Friday,18,27,QV Market-Peel St,159,QV Market-Peel St,Vic_T,8/16/2013,A,,East,West,-37.80606888,144.9564469,"(-37.80606888, 144.95644693)"
52,2887680,11/1/2019,2019,November,1,Friday,18,28,The Arts Centre,"1,565",The Arts Centre,VAC_T,8/23/2013,A,,South,North,-37.82129924,144.9687931,"(-37.82129924, 144.96879309)"
53,2887681,11/1/2019,2019,November,1,Friday,18,31,Lygon St (West),418,Lygon St (West),Lyg161_T,10/10/2013,A,,South,North,-37.8016968,144.9665891,"(-37.8016968, 144.96658911)"
54,2887682,11/1/2019,2019,November,1,Friday,18,30,Lonsdale St (South),"1,129",Lonsdale St (South),Lon189_T,10/14/2013,A,,East,West,-37.81121849,144.9665681,"(-37.81121849, 144.96656807)"
55,2887683,11/1/2019,2019,November,1,Friday,18,34,Flinders St-Spark La,240,Flinders St-Spark La,Fli32_T,6/8/2014,A,,East,West,-37.81537985,144.9741505,"(-37.81537985, 144.9741505)"
56,2887684,11/1/2019,2019,November,1,Friday,18,39,Alfred Place,384,Alfred Place,AlfPl_T,12/4/2019,A,In 4/12/2019 sensor upgraded,South,North,-37.81379749,144.9699575,"(-37.81379749, 144.96995745)"
57,2887685,11/1/2019,2019,November,1,Friday,18,37,Lygon St (East),210,Lygon St (East),Lyg260_T,2/11/2015,A,,North,South,-37.80310271,144.9667145,"(-37.80310271, 144.96671452)"
58,2887686,11/1/2019,2019,November,1,Friday,18,40,Lonsdale St-Spring St (West),387,Lonsdale St-Spring St (West),Spr201_T,1/19/2015,A,,South,North,-37.80999341,144.9722759,"(-37.80999341, 144.97227588)"
59,2887687,11/1/2019,2019,November,1,Friday,18,36,Queen St (West),496,Queen St (West),Que85_T,1/20/2015,A,,South,North,-37.81652527,144.9612106,"(-37.81652527, 144.96121063)"
60,2887688,11/1/2019,2019,November,1,Friday,18,29,St Kilda Rd-Alexandra Gardens,754,St Kilda Rd-Alexandra Gardens,AG_T,10/11/2013,A,sensor upgraded from laser to 3D on 19/12/2019,North,South,-37.81965808,144.9686345,"(-37.81965808, 144.96863453)"
61,2887689,11/1/2019,2019,November,1,Friday,18,42,Grattan St-Swanston St (West),447,Grattan St-Swanston St (West),UM1_T,4/15/2015,A,,South,North,-37.80008565,144.9638641,"(-37.80008565, 144.96386412)"
62,2887690,11/1/2019,2019,November,1,Friday,18,43,Monash Rd-Swanston St (West),145,Monash Rd-Swanston St (West),UM2_T,4/15/2015,A,,South,North,-37.79844525,144.9641178,"(-37.79844525, 144.96411782)"
63,2887691,11/1/2019,2019,November,1,Friday,18,44,Tin Alley-Swanston St (West),25,Tin Alley-Swanston St (West),UM3_T,4/15/2015,A,,South,North,-37.79690473,144.9644038,"(-37.79690473, 144.96440378)"
64,2887692,11/1/2019,2019,November,1,Friday,18,35,Southbank,"2,292",Southbank,SouthB_T,4/15/2021,A,River side,East,West,-37.82017828,144.9650888,"(-37.82017828, 144.96508877)"
65,2887693,11/1/2019,2019,November,1,Friday,18,45,Little Collins St-Swanston St (East),"1,927",Little Collins St-Swanston St (East),Swa148_T,6/29/2017,A,,North,South,-37.81414074,144.9660938,"(-37.81414074, 144.9660938)"
66,2887694,11/1/2019,2019,November,1,Friday,18,46,Pelham St (S),201,Pelham St (South),Pel147_T,7/10/2017,A,,West,East,-37.80240719,144.9615673,"(-37.80240719, 144.96156731)"
67,2887695,11/1/2019,2019,November,1,Friday,18,47,Melbourne Central-Elizabeth St (East),"1,933",Melbourne Central-Elizabeth St (East),Eli250_T,8/24/2017,A,,South,North,-37.81160331,144.9622008,"(-37.81160331, 144.96220077)"
68,2887696,11/1/2019,2019,November,1,Friday,18,48,QVM-Queen St (East),273,QVM-Queen St (East),QVMQ_T,10/2/2017,A,,East,West,-37.80631581,144.958667,"(-37.80631581, 144.95866698)"
69,2887697,11/1/2019,2019,November,1,Friday,18,49,QVM-Therry St (South),150,QVM-Therry St (South),Eli501_T,11/29/2017,A,,West,East,-37.80730067,144.9595606,"(-37.80730067, 144.95956055)"
70,2887698,11/1/2019,2019,November,1,Friday,18,50,Faraday St-Lygon St (West),624,Faraday St-Lygon St (West),Lyg309_T,11/30/2017,A,,North,South,-37.79808191,144.9672101,"(-37.79808191, 144.96721014)"
71,2887699,11/1/2019,2019,November,1,Friday,18,51,QVM-Franklin St (North),181,QVM-Franklin St (North),Fra118_T,11/30/2017,A,,West,East,-37.80841814,144.9590632,"(-37.80841814, 144.95906317)"
72,2887700,11/1/2019,2019,November,1,Friday,18,52,Elizabeth St-Lonsdale St (South),806,Elizabeth St-Lonsdale St (South),Eli263_T,7/31/2017,A,,West,East,-37.81252157,144.9619401,"(-37.81252157, 144.9619401)"
73,2887701,11/1/2019,2019,November,1,Friday,18,54,Lincoln-Swanston(West),178,Lincoln-Swanston (West),Swa607_T,6/26/2018,A,,South,North,-37.804024,144.963084,"(-37.804024, 144.963084)"
74,2887702,11/1/2019,2019,November,1,Friday,18,55,Elizabeth St-La Trobe St (East),"1,972",Elizabeth St-La Trobe St (East),Eli380_T,7/19/2018,A,,North,South,-37.80988941,144.9613433,"(-37.80988941, 144.96134331)"
75,2887703,11/1/2019,2019,November,1,Friday,18,56,Lonsdale St - Elizabeth St (North),598,Lonsdale St - Elizabeth St (North),Lon364_T,7/25/2018,A,,East,West,-37.81234775,144.9615331,"(-37.81234775, 144.96153311)"
76,2887704,11/1/2019,2019,November,1,Friday,18,57,Bourke St Bridge,870,Bourke St Bridge,BouBri_T,8/13/2018,A,,West,East,-37.8176735,144.950256,"(-37.8176735, 144.95025595)"
77,2887705,11/1/2019,2019,November,1,Friday,18,58,Bourke St - Spencer St (North),"1,499",Bourke St - Spencer St (North),Bou688_T,9/27/2018,A,,West,East,-37.81686074,144.9535808,"(-37.81686074, 144.95358075)"
78,2887706,11/1/2019,2019,November,1,Friday,18,59,Swanston St - RMIT Building 80,396,Building 80 RMIT,RMIT_T,2/13/2019,A,,North,South,-37.80825648,144.9630486,"(-37.80825648, 144.96304859)"
79,2887707,11/1/2019,2019,November,1,Friday,18,61,Swanston St - RMIT Building 14,"1,080",RMIT Building 14,RMIT14_T,6/28/2019,A,,North,South,-37.80767455,144.9630912,"(-37.80767455, 144.96309115)"
80,2887708,11/1/2019,2019,November,1,Friday,18,62,La Trobe St (North),262,La Trobe St (North),Lat224_T,9/25/2019,A,,East,West,-37.80996494,144.9621652,"(-37.80996494, 144.96216521)"
81,2887709,11/1/2019,2019,November,1,Friday,19,4,Town Hall (West),"2,345",Town Hall (West),Swa123_T,3/23/2009,A,,South,North,-37.81487988,144.9660878,"(-37.81487988, 144.9660878)"
82,2887710,11/1/2019,2019,November,1,Friday,19,17,Collins Place (South),367,Collins Place (South),Col15_T,3/30/2009,A,Device is upgraded in 26/02/2020,East,West,-37.81362542,144.9732359,"(-37.81362542, 144.97323592)"
83,2887711,11/1/2019,2019,November,1,Friday,19,18,Collins Place (North),294,Collins Place (North),Col12_T,3/30/2009,A,,East,West,-37.81344861,144.9730535,"(-37.81344861, 144.97305354)"
84,2887712,11/1/2019,2019,November,1,Friday,19,53,Collins St (North),784,Collins Street (North),Col254_T,9/23/2015,A,,West,East,-37.8156419,144.965499,"(-37.8156419, 144.965499)"
85,2887713,11/1/2019,2019,November,1,Friday,19,2,Bourke Street Mall (South),"1,639",Bourke Street Mall (South),Bou283_T,3/30/2009,A,,East,West,-37.81380667,144.9651672,"(-37.81380667, 144.96516719)"
86,2887714,11/1/2019,2019,November,1,Friday,19,1,Bourke Street Mall (North),"2,533",Bourke Street Mall (North),Bou292_T,3/24/2009,A,,West,East,-37.8134944,144.9651532,"(-37.8134944, 144.96515324)"
87,2887715,11/1/2019,2019,November,1,Friday,19,3,Melbourne Central,"2,512",Melbourne Central,Swa295_T,3/25/2009,A,,North,South,-37.81101523,144.9642949,"(-37.81101523, 144.96429485)"
88,2887716,11/1/2019,2019,November,1,Friday,19,15,State Library,"1,562",State Library,QV_T,3/25/2009,R,,South,North,-37.81064378,144.9644713,"(-37.81064378, 144.96447132)"
89,2887717,11/1/2019,2019,November,1,Friday,19,9,Southern Cross Station,522,Southern Cross Station,Col700_T,3/23/2009,A,,East,West,-37.81982992,144.9510256,"(-37.81982992, 144.95102556)"
90,2887718,11/1/2019,2019,November,1,Friday,19,10,Victoria Point,126,Victoria Point,BouHbr_T,4/23/2009,A,,West,East,-37.81876473,144.9471055,"(-37.81876473, 144.94710545)"
91,2887719,11/1/2019,2019,November,1,Friday,19,12,New Quay,385,New Quay,NewQ_T,1/21/2009,A,,West,East,-37.81457987,144.942924,"(-37.81457987, 144.94292398)"
92,2887720,11/1/2019,2019,November,1,Friday,19,11,Waterfront City,123,Waterfront City,WatCit_T,1/20/2009,A,,East,West,-37.81564989,144.939707,"(-37.81564989, 144.93970695)"
93,2887721,11/1/2019,2019,November,1,Friday,19,8,Webb Bridge,221,Webb Bridge,WebBN_T,3/24/2009,A,,North,South,-37.82293543,144.9471751,"(-37.82293543, 144.94717511)"
94,2887722,11/1/2019,2019,November,1,Friday,19,7,Birrarung Marr,436,Birrarung Marr,Fed_T,12/17/2014,A,,East,West,-37.81862929,144.971694,"(-37.81862929, 144.97169395)"
95,2887723,11/1/2019,2019,November,1,Friday,19,5,Princes Bridge,"2,530",Princes Bridge,PriNW_T,3/26/2009,A,,North,South,-37.81874249,144.9678766,"(-37.81874249, 144.96787656)"
96,2887724,11/1/2019,2019,November,1,Friday,19,6,Flinders Street Station Underpass,"2,467",Flinders Street Station Underpass,FliS_T,3/25/2009,A,Upgraded on 8/09/21,North,South,-37.81911704,144.9655826,"(-37.81911704, 144.96558256)"
97,2887725,11/1/2019,2019,November,1,Friday,19,14,Sandridge Bridge,38,Sandridge Bridge,SanBri_T,9/25/2019,A,,North,South,-37.82011242,144.962919,"(-37.82011242, 144.96291898)"
98,2887726,11/1/2019,2019,November,1,Friday,19,26,QV Market-Elizabeth St (West),698,QV Market-Elizabeth St (West),Eli483_T,9/28/2013,A,,South,North,-37.80869542,144.960494,"(-37.80869542, 144.96049404)"
99,2887727,11/1/2019,2019,November,1,Friday,19,24,Spencer St-Collins St (North),"1,566",Spencer St-Collins St (North),Col620_T,9/2/2013,A,,East,West,-37.81887962,144.954492,"(-37.81887962, 144.95449198)"
100,2887728,11/1/2019,2019,November,1,Friday,19,23,Spencer St-Collins St (South),235,Spencer St-Collins St (South),Col623_T,9/2/2013,A,,East,West,-37.81909256,144.9545275,"(-37.81909256, 144.95452749)"
101,2887729,11/1/2019,2019,November,1,Friday,19,25,Melbourne Convention Exhibition Centre,"1,741",Melbourne Convention Exhibition Centre,MCEC_T,10/2/2019,A,Sensor relocated from 14 to 25 on 2/10/2019,East,West,-37.82401776,144.9560443,"(-37.82401776, 144.95604426)"
102,2887730,11/1/2019,2019,November,1,Friday,19,21,Bourke St-Russell St (West),"1,117",Bourke St-Russell St (West),Rus180_T,9/2/2013,A,,South,North,-37.81244703,144.9677876,"(-37.81244703, 144.96778757)"
103,2887731,11/1/2019,2019,November,1,Friday,19,20,Chinatown-Lt Bourke St (South),"1,013",Chinatown-Lt Bourke St (South),LtB170_T,9/6/2013,A,,East,West,-37.81172913,144.9682466,"(-37.81172913, 144.9682466)"
104,2887732,11/1/2019,2019,November,1,Friday,19,19,Chinatown-Swanston St (North),"1,404",Chinatown-Swanston St (North),LtB210_T,9/2/2013,A,,East,West,-37.81237202,144.9655067,"(-37.81237202, 144.96550671)"
105,2887733,11/1/2019,2019,November,1,Friday,19,22,Flinders St-Elizabeth St (East),"2,647",Flinders St-Elizabeth St (East),Eli274_T,8/12/2013,A,,South,North,-37.81786445,144.9650682,"(-37.81786445, 144.96506823)"
106,2887734,11/1/2019,2019,November,1,Friday,19,27,QV Market-Peel St,187,QV Market-Peel St,Vic_T,8/16/2013,A,,East,West,-37.80606888,144.9564469,"(-37.80606888, 144.95644693)"
107,2887735,11/1/2019,2019,November,1,Friday,19,28,The Arts Centre,"1,342",The Arts Centre,VAC_T,8/23/2013,A,,South,North,-37.82129924,144.9687931,"(-37.82129924, 144.96879309)"
108,2887736,11/1/2019,2019,November,1,Friday,19,31,Lygon St (West),512,Lygon St (West),Lyg161_T,10/10/2013,A,,South,North,-37.8016968,144.9665891,"(-37.8016968, 144.96658911)"
109,2887737,11/1/2019,2019,November,1,Friday,19,30,Lonsdale St (South),"1,184",Lonsdale St (South),Lon189_T,10/14/2013,A,,East,West,-37.81121849,144.9665681,"(-37.81121849, 144.96656807)"
110,2887738,11/1/2019,2019,November,1,Friday,19,34,Flinders St-Spark La,158,Flinders St-Spark La,Fli32_T,6/8/2014,A,,East,West,-37.81537985,144.9741505,"(-37.81537985, 144.9741505)"
111,2887739,11/1/2019,2019,November,1,Friday,19,39,Alfred Place,289,Alfred Place,AlfPl_T,12/4/2019,A,In 4/12/2019 sensor upgraded,South,North,-37.81379749,144.9699575,"(-37.81379749, 144.96995745)"
112,2887740,11/1/2019,2019,November,1,Friday,19,37,Lygon St (East),293,Lygon St (East),Lyg260_T,2/11/2015,A,,North,South,-37.80310271,144.9667145,"(-37.80310271, 144.96671452)"
113,2887741,11/1/2019,2019,November,1,Friday,19,40,Lonsdale St-Spring St (West),384,Lonsdale St-Spring St (West),Spr201_T,1/19/2015,A,,South,North,-37.80999341,144.9722759,"(-37.80999341, 144.97227588)"
114,2887742,11/1/2019,2019,November,1,Friday,19,36,Queen St (West),420,Queen St (West),Que85_T,1/20/2015,A,,South,North,-37.81652527,144.9612106,"(-37.81652527, 144.96121063)"
115,2887743,11/1/2019,2019,November,1,Friday,19,29,St Kilda Rd-Alexandra Gardens,502,St Kilda Rd-Alexandra Gardens,AG_T,10/11/2013,A,sensor upgraded from laser to 3D on 19/12/2019,North,South,-37.81965808,144.9686345,"(-37.81965808, 144.96863453)"
116,2887744,11/1/2019,2019,November,1,Friday,19,42,Grattan St-Swanston St (West),303,Grattan St-Swanston St (West),UM1_T,4/15/2015,A,,South,North,-37.80008565,144.9638641,"(-37.80008565, 144.96386412)"
117,2887745,11/1/2019,2019,November,1,Friday,19,43,Monash Rd-Swanston St (West),42,Monash Rd-Swanston St (West),UM2_T,4/15/2015,A,,South,North,-37.79844525,144.9641178,"(-37.79844525, 144.96411782)"
